code,word,translation
1,sincere,adj. 真诚的，诚挚的
2,mood,n. 心情，情绪；（动词的）语气
3,static,adj. 静的，静态的；静止的，停滞的 n. 静屯
4,hobby,n. 业余爱好，癖好
5,considering,prep. 鉴于，考虑到，顾及
6,lad,n. 男孩，小伙子
7,equip,vt. 装备，配备；（智力、体力上）使有准备
8,frown,n./vi. 皱眉，蹙额
9,software,n. 软件
10,fasten,v. 扎牢，扣住
11,stir,v. 搅动；拨动；激动；唤起 n. 搅拌，搅动；激动，骚乱
12,flexible,adj. 易弯曲的，灵活的
13,solution,n. 解决；解决办法；溶液
14,panel,n. 专门小组；嵌板；控制板，仪表盘
15,supreme,adj. 最高的；最大的；极度的；最重要的
16,describe,vt. 形容；描写；画出（图形等）
17,limb,n. 肢，臂，腿；树枝
18,circumstance,n. 情况，条件；境遇，经济情况 vt.
19,mess,n. 凌乱状态，混乱的局面；困境 vt. 弄糟，弄脏，搞乱
20,core,n. 果实的心；核心，要点
21,minus,n. 负数；减号 adj. 负的 prep. 减（去）
22,statistic,n. 统计数值，统计资料；统计学
23,pregnant,adj. 怀孕的，妊娠的
24,sector,n. 部门；部分；防御地段，防区；扇形
25,bride,n. 新娘
26,statue,n. 塑像，雕像，铸像
27,cycle,n./v. （骑）自行车，（骑）摩托车；循环
28,skillful,adj. 灵巧的，娴熟的
29,overhead,adj. 在头顶上的；架空的 n. 经常性开支，管理费用
31,grant,nn.. 授联予结物，；联补系助；金公债 vt；. 授契予约，，给合予同； v同. （意使）黏合，（使）结
32,bond,合
33,staff,n. （全体）工作人员；参谋 vt. 为…配备人员
34,intermediate,adj. 中间的；中级的
35,guitar,n. 吉他，六弦琴
36,comprehensive,adj. 广泛的，综合的；理解的
37,presence,n. 出席，到场；存在；仪表，仪态
38,appliance,n. 用具，器具，器械；家电
39,emergency,n. 紧急情况，突发事件
40,solve,vt. 解答；解释；解决
41,label,n. 标签；标记，符号 vt. 贴标签于；把…称为
43,ambassador,n. 大使，使节，派驻国际组织的代表
44,status,n. 地位，身份；情形，状况
45,cushion,n. 垫子，坐垫，靠垫
46,steady,adj. 稳的，平稳的；稳定的，持续的；稳固的 v. （使）稳定
47,include,vt. 包括，包含
48,prime,adj. 首要的；最好的 n. 青春；全盛时期 vt. 使准备好
49,derive,v. 取得；起源
50,sponsor,n. 发起者 vt. 发起；资助，赞助；支持
51,proportion,n. 比例；部分，份儿；均衡，相称
52,mental,adj. 心理的，精神的，思想上的；（治疗）精神病的；智力的
53,punch,vt. 猛击；穿孔 n. 猛击；冲床；穿孔机；力量
54,result,n. 结果；成果；比分 vi. 发生；结果
55,client,n. 委托人，当事人；顾客56steamer ˈstiːmə(r) n. 轮船，汽船
57,option,n. 选择，选择权，选择自由；（供）选择的事物或人；选课
58,dormitory,n. 集体寝室，宿舍
59,attitude,nad. 态j. 险度峻，的看，法陡；峭姿的势；（价格等）过高的；（上升或下降）急
60,steep,剧的
61,agency,n. 经办，代理；代理处；（政府等的）专门行政部门
62,steer,v. 掌舵，驾驶；操纵
63,jog,n./v. 慢跑；（尤指不正当地）轻轻碰撞（或推搡）
64,scandal,n. 丑事，丑闻；流言蜚语；反感，愤慨
66,abolish,vt. 废除，废止（法律、制度、习俗等）
67,baby,生育高峰（期）
68,illusion,n. 幻想；错觉，幻觉，假象
69,fable,n. 寓言；[总称]神话传说
70,cater,vi. 满足需要（或欲望），迎合；提供饮食及服务，承办酒席
71,obese,adj. 肥胖的，过胖的
72,paddy,n. 稻田
74,economics,n. 经济学
75,madden,vt. 使疯狂；激怒
76,narrate,v. 叙述
77,handbook,n. 手册，便览
78,gadget,n. 小器具；小装置
79,aerial,adj. 飞机的；航空的；空中的；架空的 n. 天线
80,applaud,v. 向…鼓掌，向…喝彩；称赞，赞许
81,Word,2
82,definite,adj. 明确的，肯定的
83,cautious,adj. 十分小心的，谨慎的
84,nest,n. 巢，窝，穴 v. 筑巢
85,domestic,adj. 本国的；家庭的；驯养的
86,chest,n. 胸腔，胸膛；箱子
87,rebel,n. 反叛分子，反对者
89,satisfactory,adj. 令人满意的
90,airline,n. 航空公司；航线
91,stem,n. 茎，（树）干；词干 vi. 起源 vt. 堵住，止住
92,coupon,n. 礼券，优惠券，配合券；（火车等的）联票；票证
93,render,vt. 使得，致使；给予，提供；翻译
94,object,n. 实物，物体；目的，目标；对象，客体；宾语
96,gardener,n. 园丁，花匠
97,shrink,v. （使）起皱；（使）收缩；退缩，畏缩
98,parade,n. 游行；检阅 v. （使）游行；（使）列队前进；招摇而行
99,rumo(u)r,n. 谣传，谣言
100,establish,vt. 建立，设立；确立；证实
101,kindness,n. 仁慈，好意
102,breast,n. 乳房；胸脯，胸膛
103,sticky,adj. 黏性的，胶黏的；（天气）湿热的
105,fund,nad. 资j. 不金能，相基信金的；，存不款可 vt信. 为的…；提难供以资置金信的，不可思议的；惊人
106,incredible,的
107,abroad,adv. 到（或在）国外；在转播，在流传
109,rug,n. （小）地毯
110,stimulate,vt. 刺激，激励，激发
111,fame,n. 名声，名望
112,consume,vt. 消费；吃完，喝光；毁灭；使着迷；充满113accelerate əkˈseləreɪt vt. 使加快，使增速
114,lightning,n. 电光，闪电
115,sting,n./v. 刺，蛰；刺痛；激怒
117,rouse,vt. 惊起；唤起；唤醒
118,cultivate,vnt. .材 耕料作，，素种材植 a；dj培. 物养质，的陶，冶实体的；肉体的；重要的，实质性
119,material,的
120,personnel,n. [总称]人员，员工
121,display,vt. 陈列，展览；显示
122,particle,n. 粒子；微粒；小品词，语助词
123,frog,n. 蛙
124,impression,n. 印象；印记
125,biology,n. 生物学，生态学
126,drunk,adj. 醉的；陶醉的
127,barrier,n. 栅栏；检票口；屏障；障碍，隔阂
129,fisherman,n. 渔民，渔夫
130,royal,adj. 王室的，皇家的
131,barber,n. 理发师
132,stocking,n. 长（筒）妹
133,delegate,n. 代表，代表团成员
135,highlight,vt. 强调，突出，使显著 n. 最精彩的部分；最重要的事件
136,depression,n. 抑郁，沮丧；不景气，萧条（期）；洼地，凹陷
137,signature,n. 署名，签字，签名
138,atmosphere,n. 大气，空气；气氛，环境
139,evaluate,vt. 评价；估…的价
140,rescue,n./vt. 营救，救援
141,personality,n. 人格，个性；人物，名人
142,latter,adj. （两者中）后者的；后一半的
143,parliament,n. 议会，国会
144,input,n. 输入；投入的资金；输入的数据 vt. 把…输入计算机
145,partial,adj. 部分的；不公平的；偏爱的，偏袒的
146,loyalty,n. 忠诚，忠心
147,calendar,n. 日历，历书，历法
148,overlook,vt. 忽视；宽恕；俯瞰
149,debate,n./v. 争论，辩论
150,stoop,v. 俯身，弯腰；堕落，自贬 n. 弯腰，曲背
151,calf,n. 牛犊，（鲸、象等大型哺乳动物的）幼崽；腿肚子
152,masterpiece,n. 杰作
153,nude,and. （j. 裸身的体，或裸智体力的方 n面. 裸的体）画缺，陷裸；体障人碍像，不利条件 vt. 妨碍，使
154,handicap,不利
155,elite,n. 上层集团；[总称]掌权人物，社会精英
156,naughty,adj. 淘气的，顽皮的
157,deem,v. 认为，视为；相信
158,ferry,n. 渡船 vt. 渡运 vi. 摆渡
159,jetlag,n. 时差反应；飞行时差综合征
160,badminton,n. 羽毛球
161,immune,adj. 免疫的，有免疫力的；不受影响的；免除的，豁免的
162,logo,n. 商标，标注
163,heartfelt,adj. 衷心的，真诚的
164,ballet,n. 芭蕾舞，芭蕾舞剧；芭蕾舞团
165,Word,3
166,cube,n. 立方形，立方
167,submerge,v. 淹没，潜入水中
169,surrounding,n. [pl.] 周围的事物，环境170carrier ˈkæriə(r) n. 运输工具，运载工具；带菌者；载重架，置物架
171,stove,n. 炉，火炉，电炉
172,developmental,adj. 发展的
173,layer,n. 层，层次
175,imply,vt. 暗示，意指
177,consist,vi. 由…组成；在于；一致
178,strap,n. 带子 vt. 捆扎；用绷带包扎
179,efficient,adj. 效率高的；有能力的
180,accommodation,n. 住处；膳宿
181,exclaim,vi. 呼喊，惊叫
182,representative,n. 代表，代理人 adj. 有代表性的，典型的
183,forecast,n. 预测，预报 v. （做）预测，（进行）预报
184,discipline,n. 纪律；训练；惩罚；学科 vt. 训练；惩罚，处罚
185,neutral,adj. 中立的；中性的
187,desirable,adj. 值得向往的，令人满意的
188,promote,vt. 促进，增进，发扬；提升；宣传，推销（商品等）
189,acceptance,n. 接受；承认；容忍
190,mayor,n. 市长
191,equation,n. 方程（式），等式
192,routine,n. 例行公事，惯例，惯常的程序 adj. 例行的，常规的
193,interpret,v. 解释，说明；口译
194,ripe,adj. 熟的；时机成熟的
195,prove,v. 证实，证明；结果是
196,likewise,adv. 同样地；也，又
197,explore,vt. 探险，探索；仔细查阅，探究
198,overnight,adv. 整夜，通宵；一夜间，突然
200,strategy,n. 战略，策略
201,straw,n. 稻草；麦秆吸管，吸管
202,bind,vt. 捆绑，包扎；装订；约束；使结合，使黏合
203,stream,n. 河，溪流；一般，一串 v. 六出，涌出
204,bearing,n. 举止，风度；方位，方向感；影响
205,suppose,vt. 猜想，假定；让；[常用于被动语态]期望，认为应该
207,remain,vi. 剩下，余留；保持；仍然是 n. 残余；残骸；遗迹
208,abstract,adj. 抽象的；抽象派的 n. 摘要，梗概；抽象派艺术作品
211,approximate,adj. 近似的
213,striking,adj. 显著的，突出的；惹人注目的，容貌出众的
214,abuse,vt. 滥用；虐待，伤害；辱骂，毁谤
216,interpretation,nn.. 解线释，；细口绳；译；一（串表，演一、行演 vt奏 . （的用）线艺、术绳处）理缚，扎，挂；（用
218,illustrate,vt. （用图等）说明
219,helpful,adj. 给予帮助的；有用的
220,leak,v. 漏；泄露 n. 漏洞
221,product,n. 产品，产物；乘积
222,strip,v. 脱光衣服；剥夺，夺去 n. 条带
223,crude,adj. 简陋的；天然的；粗鲁的，粗俗的
224,strip,n. 条纹
225,communicate,v. 通讯；交际，交流；连接，相通；传达，传播；传染
226,following,adj. 接着的，下列的 n. 一批追随者227hedge hedʒ n. 篱笆，树篱；障碍物 v. 用篱笆围；避免直接回答
228,consumer,n. 消费者，用户；消耗者
229,emotional,adj. 感情的，情绪的
230,institute,n. 研究所，学院 vt. 建立，设立；制定；实行
231,craft,n. 工艺，手艺；船；航空器
232,indispensable,adj. 必不可少的，必需的
233,scheme,n. 计划，方案；阴谋 v. 密谋；策划
234,replace,vt. 代替，取代；更换，调换；把…放回原处
236,bark,vi. （狗等）吠，叫；厉声说话 n. 吠声，叫声；树皮
237,accustom,vt. 使习惯于
238,database,n. 数据库
239,elevate,vt. 提升…的职位；提高，改善；使情绪高昂；举起，使上升
240,impulse,n. 冲动，一时的念头；推动，驱使；脉冲
241,journalism,n. 新闻业，新闻工作
242,maiden,n. 少女，未婚女子
243,fireplace,n. 壁炉
245,calorie,n. 大卡（测量食物含热量的单位）；卡路里（热量单位）
247,criterion,n. （批评、判断等的）标准，准则
248,beforehand,adv. 预先，事先
249,Word,4
250,congress,n. 代表大会；[C-] 国会，议会
254,arbitrary,adj. 专断的，随心所欲的
255,pinch,vt. 捏，拧 n. （一）撮，微量
256,exploit,vt. 剥削；利用；开拓
258,action,n. 行动；已做的事；作用，功能；情节
259,ash,n. 灰，灰末；骨灰
260,rope,n. 绳，索 vt. 用绳捆（或扎等）
262,independent,adj. 独立的，自主的；无偏见的；不相关联的
264,recall,v. 回忆（起）；召回，叫回；收回，撤销
265,studio,n. 画室；摄影室；播音室，录音室；摄影棚
266,grave,n. 坟墓 adj. 严重的；严肃的
267,eve,n. 前夜，前夕，前一刻
268,formal,adj. 正式的，礼仪上的
269,absorb,vt. 吸收；吸引…的注意，使全神贯注；把…并入，同化
270,sensitive,adj. 敏感的，灵敏的，神经过敏的；容易生气的，易受伤害的
271,ability,n. 能力，本领；才能，才智
272,fairy,n. 小精灵，小仙子
273,talent,n. 天才，才能；人才
274,comparison,n. 比较，对照；比拟，比喻
275,stuff,n. 材料，东西 vt. 装，填，塞；让…吃饱
276,brow,n. 额，眉， 眉毛
277,infer,vt. 推论，推断；猜想
278,grand,adj. 宏伟的；重大的；傲慢的；派头大的；绝佳的；全部的279stress stres n. 压力；强调；重要性；应力；重音 vt. 强调，着重；重读
280,journalist,n. 新闻工作者，新闻记者
281,supply,n./vt. 供给，供应
282,penetrate,vt. 透入，渗入，进入；刺穿；洞察，了解
283,subject,n. 题目；学科；主语
285,distraction,n. 分心的事；心烦意乱；精神错乱；娱乐，消遣
286,pole,n. 杆；极（点）；磁极，电极
288,embassy,n. 大使馆；大使馆全体成员
289,carpenter,n. 木工，木匠
290,appropriate,adj. 适当的，恰当的
291,protein,n. 蛋白质；朊
292,enlarge,vt. 扩大，扩展，放大
293,inherit,vt. 继承（传统、遗产等） vi. 成为继承人
294,chemist,n. 化学家；药剂师
295,drain,v. 排去，放水 n. 耗竭；排水沟，排水管
296,conflict,n. 冲突，抵触，争论；战斗，战争
298,architecture,n. 建筑学；建筑式样，建筑风格
299,charity,n. 救济金，施舍物；慈善团体，慈善事业；宽大，宽容
300,subsequent,adj. 随后的，后来的
301,entitle,vt. 给…权利（或资格）；给（书、文章等）提名
302,span,n. 跨距；一段时间 vt. 持续，贯穿；包括；横跨，跨越
303,pea,n. 豌豆
304,instruct,vt. 指示，命令；通知；教授；训练
305,spite,n. 恶意，怨恨 vt. 刁难，欺侮
306,automobile,n. 汽车，机动车
307,slender,adj. 细长的，苗条的；微薄的，不足的
308,behavior,n. 行为，举止，表现
309,envy,n. 妒忌，羡慕；妒忌的对象 vt. 妒忌，羡慕
310,substance,n. 物质；实质；大意，要旨；根据，理由
311,contest,n. 竞赛，争夺
313,spit,v. 吐唾沫，吐出 n. 唾沫，唾液
314,mutual,adj. 相互的；共同的
315,dorm,n. 宿舍
316,substantial,adj. 可观的，大量的；结实的，坚固的；实质的，真实的
317,meanwhile,adj. 与此同时
318,desire,v. 渴望；要求 n. 愿望；欲望
319,administer,vt. 掌管，料理…的事务；施行，实施；给予，派给；投（药）
320,bamboo,n. 竹，竹子
321,insane,adj. 愚蠢的；疯狂的；危险的；精神失常的，精神错乱的
322,lame,adj. 跛的，瘸的；站不住脚的，无说服力的
323,kin,n. 亲属，家属
324,junk,n. 无用的东西；无价值的东西 vt. 丢弃，废弃
325,watertight,adj. 不透水的，防水的；严密的，无懈可击的
326,zoology,n. 动物学
327,yell,vi./n. 喊叫，大喊，吼叫
328,veto,vt./n. 否决
329,update,n. 最新信息；最新报道；最新进展
331,trigger,n. （枪等的）扳机；触发器；引爆器 vt. 触发，引起
332,breakthrough,n. 突破，突破性进展；重要的新发现
333,Word,5
334,interaction,n. 相互作用，干扰
335,menu,n. 菜单
336,frustrate,vt. 使沮丧，使灰心；挫败，使受挫折
337,belief,n. 信任，相信；信念
338,civilize,vt. 使文明，使开化，教育
339,preface,n. 序言，前言，引言340chemical ˈkemɪkl adj. 化学的 n. 化学制品
341,invitation,n. 邀请，招待；请柬；吸引，诱惑
342,auto,n. 汽车
343,purse,n. 钱包，女用小提包
344,blank,adj. 空白的；茫然的，无表情的 n. 空白；空白表格
345,courtyard,n. 庭院，院子
346,rural,adj. 农村的，乡村的
347,discourage,vt. 使泄气，使灰心；阻止，劝阻
348,rainbow,n. 彩虹
349,slide,v. 滑；悄悄地移动 n. 滑动；滑道，滑面； 幻灯片
350,removal,n. 除去，消除；移动；搬迁
351,missing,adj. 缺掉的，失踪的
352,graph,n. （曲线）图，图标
353,fortnight,n. 两星期， 十四天
354,disgust,n./vt. 厌恶，憎恶
355,allow,vt. 允许，准许；同意给；承认；允许···进入（或停留）
356,devote,vt. 将···奉献给；把···专用（于）
357,empire,n. 帝国
358,microphone,n. 扩音器，话筒，麦克风
359,subtract,vt. 减，减去，去掉
360,pace,n. 步，步伐；速度；节奏 vi. 踱步
361,gesture,n. 姿势，手势，姿态 v. 做手势（表示）
362,loop,n. 圈，环，回路；循环 v. （使）成环，（使）成圈
364,diversity,n. 多样性；差异；不同点
365,cupboard,n. 橱柜；碗碟橱，食橱
366,sore,adj. 痛的；恼火的；急剧的，剧烈的 n. 疮，痛处
367,raid,n./vt. （突然）袭击；（警察等）突入查抄，突入搜捕；劫掠
368,lower,adj. 较低的；下面的 vt. 放下，降低
369,comment,n. 评论，意见；注释；闲话，议论 vi. 评论
370,distress,n. 忧虑，痛苦，悲伤；不幸
371,publicity,n. 公众的注意，名声；宣传，宣扬
373,museum,n. 博物馆
374,outstanding,adj. 突出的，杰出的；未解决的；未偿付的
375,rent,v. 租借，租用；出租，出借 n. 租金；出租
376,housing,n. 房屋，住宅；住房建筑，住房供给；外壳，外罩
377,rack,n. 挂架，搁架 vt. 使痛苦，折磨；尽力使用
378,complain,vi. 抱怨，诉苦；控告，投诉
379,lung,n. 肺
380,deny,vt. 否定，否认；拒绝···的要求
381,rid,vt. 使摆脱，解除···的负担，从···中清除
382,harness,vt. 治理；给（马等）上挽具 n. 马具，挽具
384,passion,n. 激情，热情；酷爱
385,genuine,adj. 真的，真正的；真诚的
386,imaginary,adj. 想象中的，假想的
387,prompt,vt. 促使，推动；提示 adj. 敏捷的；及时的 n. 提示台词，提示
388,lucky,adj. 幸运的，侥幸的；吉利的
389,confidence,n. 信任，信赖；信心，自信
390,suburb,n. 郊区，郊外，近郊
391,fearful,adj. 害怕的，可怕的；不安的，忧虑的
392,intelligence,n. 智力；理解力；情报
393,crush,vt. 压碎，碾碎；摧毁，压垮
394,finding,n. 发现；调查的结果；（陪审团的）裁决
395,membership,n. 会员身份（或资格、地位）；全体会员，会员数396*dean diːn n. 教长，主任牧师；（大学的）学院院长，系主任，训导主任
397,*eyebrow,n. 眉毛
398,*badge,n. 徽章；奖章；（制服上的）标记，标识；证章；警徽；象征
399,*cyberspace,n. 虚拟信息空间，计算机世界，网络空间
400,*irrigate,v. 灌溉
401,*juicy,adj. 多汁的
402,*lass,n. 女孩，少女
403,*factual,adj. 事实的，真实的；根据事实的
404,*axis,n. 轴，轴线，中心线；坐标轴，基准线
405,*forum,n. 论坛，讨论会；（电视等的）专题讨论节目
407,*habitat,n. （动植物的）产地，栖息地
409,*reap,vt. 收割，收获；获得，得到
410,*ozone,n. 臭氧
411,*paperback,n. 平装本，简装本
412,*scent,n. 香味；（人的）气味；臭迹，踪迹，线索；香水 vt. 嗅到；
413,briefcase,察n. 公觉文包，公事包
414,Word,6
415,subway,n. 地道；地铁
416,magnet,n. 磁铁，磁体；有吸引力的人或事物
417,defect,n. 缺点，缺陷，欠缺
418,defect,v. 变节；叛变
419,attribute,vt. 把···归因于
420,attribute,n. 属性
421,release,vt. 释放，排放；解除，解脱；放开，松开；发布；发行
422,succession,n. 连续；一连串；接替，继任，继承
423,chip,n. 屑片，碎片；炸土豆条；集成电路片，集成块；缺口，瑕疵
424,doctoral,adj. 博士的
425,similar,adj. 相似的，类似的
426,maintain,vt. 维持；维修，保养；主张；赡养
427,privilege,n. 特权；优惠
429,provoke,vt. 对···挑衅，激怒；激起，引起
430,function,n. 功能；职务，职责 vi. 运作，运行
431,substitute,n. 代替人；代替品 v. （用···）代替
432,extreme,adj. 极度的；末端的 n. 极端，过分
433,orbit,n. 轨道 vt. （绕···）做轨道运行
434,allowance,n. 津贴，补贴；零用钱
435,component,n. 组成部分，部件，组件 adj. 组成的，构成的
436,interrupt,v. 打断，打扰，中断
437,external,adj. 外部的，外面的
438,declaration,n. 宣布，宣告；宣言，声明（书）；申报
439,somehow,adv. 由于某种原因，不知怎么的；以某种方式
440,distribute,vt. 分发，分送；分布
441,specialist,n. 专家
442,rotate,v. （使）旋转，（使）转动；（使）轮流；交替
443,suck,v. 吸，吮，啜；吸收
445,rod,n. 杆，棒
446,suffer,v. 遭受，忍受；容许；受苦；受挫
447,court,n. 法院，法庭；庭院；宫廷；球场
448,sufficient,adj. 足够的，充分的
451,moist,adj. 湿润的，潮湿的
452,relative,adj. 有关系的；相对的 n. 亲属，亲戚
453,suggestion,n. 建议，意见；细微的迹象；暗示
454,restless,adj. 焦躁不安的；静不下来的，运动不止的
455,delivery,n. 投递，交付；分娩；讲话方式；投递的邮件
457,suicide,n./v. 自杀
458,dip,n./v. 浸，蘸
459,profit,n. 益处；利润，收益 vt. 有益于，有利于 vi. 受益
460,lease,n. 租约，租契 vt. 出租；租得，租有
461,disposal,n. 丟掉，销毁；处理；排列，布置
463,cart,n. （二轮或四轮）运货马车
464,stable,adj. 稳定的，不变的；沉稳的，持重的 n. 厩，马厩，牛棚
465,reckon,vt. 认为，估计；指望，盼望；测算，测量
466,jury,n. 陪审团；评审委员会，评奖团
468,glory,n. 光荣，荣誉；壮丽
469,mist,n. 薄雾 v. （使）蒙上薄雾；（使）模糊
470,congratulate,vt. 祝贺，向···道喜
471,sum,n. 总数；金额；算术 vi. 共计
472,execute,vt. 将···处死；实施，执行
473,essay,n. 短文，散文，小品文
474,route,n. 路线，路程
475,merit,n. 长处，优点，价值；功劳，成绩 vt. 值得，应受
476,local,adj. 地方性的；本地的；局部的；狭隘的
477,compromise,n. 妥协，和解，折中办法 v. 妥协；危及；放弃（原则、理想
478,rally,等n. ）集会；公路汽车赛 v. 集合，团结；恢复，重新振作
479,feather,n. 羽毛，翎毛
480,characterize,vt. 成为···的特征，以···为典型；描绘（人或物的）特性，描述
481,explode,vt. 使爆炸 vi. 爆炸；激增；发怒
482,aware,adj. 知道的，意识到的
483,*upgrade,n. 向上的斜坡；升级
484,*upgrade,vt. 提升；提拔；改善；使升级；使升格
485,*vendor,n. 小贩，摊贩；（某种产品的）销售公司；（房屋等的）卖主
487,*table,等n. 药的）片高；碑涨，牌
488,*proverb,n. 谚语，格言
489,*recite,v. 背诵，朗诵，吟诵；列举；逐一讲述
490,*nutrition,n. 营养；滋养；营养的补给
491,*odo(u)r,n. 气味
492,*lunar,adj. 月亮的，月球的
493,*mainstream,n. 主流
494,*hyphen,n. 连字号，连字符
496,*gender,n. 性别
497,continuity,n. 连续（性），持续（性）
498,corporate,adj. 法人团体的，公司的；全体的；共同的
499,Word,7
500,aside,adv. 在旁边，到旁边
501,grain,n. 谷物，谷粒；颗粒；少量，微量
502,kettle,n. 水壶
503,faulty,adj. 有错误的，有缺点的；有故障的504highly ˈhaɪli adv. 高度地，极；非常赞许地
505,summary,n. 摘要，概要，一览 adj. 概括的，概要的；实时的，即刻的
506,conservation,n. 保存；（对自然资源的）保护；守恒
507,enroll,vi. 入学，加入 vt. 招收，吸收
508,summit,n. （山等的）最高点，峰顶；最高级会议
509,reward,n. 报答，奖赏；报酬，酬金 vt. 报答，酬谢，奖励
510,specialize,vi.成为…专家；专攻
511,available,adj.现成可使用的，通用的；可取的；可取得联系的；可得到
512,structure,的n.结构，构造 vt.建造
513,resident,n.居民，定居者；住院医生 adj.居住的，定居的；住校的；住
514,boundary,院n.分的界线，边界
515,radical,adj.根本的，基本的；彻底地；激进的，激进派的 n.激进分子
516,leading,adj.指导的，带头的；最主要的；饰演主角的
517,rag,n.破布，碎步；破旧衣服
518,prescribe,vt.开（药）；吩咐采用（某种疗法）；规定，指定
519,demonstrate,vt.示范，说明；论证；表露
520,manner,n.方式；态度；风度；礼貌，规矩
521,sunrise,n.日出（时分）；朝露
522,construct,vt.建造；构思
523,construct,n.建筑物；构想，观念
524,railway,n.铁路
525,opportunity,n.机会，良机
526,lag,vi.走得慢 n.落后
527,sunset,n.日落（时分）；晚霞
528,fade,vi.褪色；凋谢；逐渐消失 vt.使褪色
529,singular,adj.单数的；非凡的，奇特的；独一无二的
531,recreation,n.娱乐活动，消遣
532,procession,n.队伍，行列
534,hell,n.地狱；极大的痛苦
535,proof,n.证据，证明；校样，样张 adj.耐…的，能防……的
537,broom,n.扫帚
538,recruit,vt.招募（新兵），吸收（新成员）n.新兵；新成员
539,contrast,n.对比，对照；反差
540,contrast,vt.对比，对照 vi.形成对比，对比之下显出区别
541,sunshine,n.（直射）日光，阳光
542,introduction,n.介绍；引进；引言
543,ancestor,n.祖宗，祖先；原型；先驱
544,split,v.分裂，分离；撕裂，裂开；分担，分享 n.裂口
545,painful,adj.疼痛的，引起疼痛的；困难的；令人不快的
546,interest,n.兴趣；利益，利害关系；利息 vt.使感兴趣
547,noticeable,adj.显而易见的
548,graduate,n.毕业生；研究生 adj.研究生的
549,graduate,v.（使）毕业
550,superb,adj.极好的；高质量的
551,glance,n.一瞥 vi.看一下；（用眼睛）扫视；反射（光等）
553,fierce,adj.凶猛的；狂热的
554,paragraph,n.（文章的）段，节
555,enquire,v.询问
556,preparation,n.准备（工作），预备；制剂
557,justice,n.正义，公正；司法
558,emit,vt.散发；发射；发表；发出（声音）559superficial ˌsuːpəˈfɪʃl adj.表面的，肤浅的
560,drip,vi.滴下，漏水 n.水滴；滴水声
561,sole,n.脚底，鞋底，袜底 adj.单独的，唯一的
562,folk,n.人们；家属，亲属；大伙儿，各位
564,motor,n.发动机，电动车
565,airport,n.机场，航空港
566,enclose,vt.围住，圈起；附上；把…装入信封
567,bounce,v.（使）弹起，（使）反弹；（使）颠簸 n.弹，反弹
568,occasion,n.场合，时刻；重大（或特殊）活动；时机；起因 vt.引起
569,determine,vt.决定；查明；使下决心 vi.决意
570,permit,v.允许，许可，准许
571,permit,n.许可证，特许证
572,*freshman,n.（大学）一年级学生
573,*gamble,n.赌博；投机，冒险 vt.赌，以…为赌注 vi.打赌
575,*imperial,adj.帝国的，帝王的；（度量衡）英制的
576,*loophole,n.漏洞，空子
577,*manipulate,vt.操纵，控制，影响；（熟练地）操作，使用
578,*ornament,n.装饰品，点缀品
579,*ornament,vt.装饰，点缀，美化
580,*paradox,n.似乎矛盾而（可能）正确的说法；自相矛盾；悖论
581,*awe,n.敬畏；惊叹 vt.使敬畏；使惊叹
582,*bail,n.保释金；保释 vt.保释；帮助脱离困境
583,*cane,n.手杖；（藤、竹等的）茎
584,*geology,n.地质学；地质情况
585,coverage,n.新闻报道；覆盖范围
